image_src,title,price,deal,shop,location
//g-search2.alicdn.com/img/bao/uploaded/i4/i2/3599799148/O1CN01woetM82HRpiPHdeYA_!!0-item_pic.jpg,"欧莱雅纷泽丰润雾感唇膏王源色239黑管哑光小棕皮294笑色
口红
220","¥
115.00",10200人付款,欧莱雅彩妆官方旗舰店,江苏 苏州
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3599799148/O1CN01248mhC2HRpiRBthk6_!!0-item_pic.jpg,"欧莱雅小钢笔印迹唇釉113哑光持久染唇液
口红
女116唇彩豆沙色正品","¥
144.50",57339人付款,欧莱雅彩妆官方旗舰店,江苏 苏州
//g-search1.alicdn.com/img/bao/uploaded/i4/i4/3626596873/O1CN01QSOKi320dseNpIjZl_!!0-item_pic.jpg,"YSL圣罗兰黑管唇釉 豆沙色407唇蜜
口红
唇彩梅子色茄红416 正品","¥
320.00",6043人付款,ysl圣罗兰美妆官方旗舰店,江苏 苏州
//g-search3.alicdn.com/img/bao/uploaded/i4/i3/3626596873/O1CN01QYjEQl20dsePnGduy_!!0-item_pic.jpg,"YSL圣罗兰纯色唇釉 水唇釉镜面唇釉唇彩番茄红
口红
斩男色 正品","¥
320.00",6381人付款,ysl圣罗兰美妆官方旗舰店,江苏 苏州
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3626596873/O1CN01p8WE7L20dseyRO5xo_!!0-item_pic.jpg,"YSL圣罗兰纯
口红
方管正红色1星星色52正橘色13豆沙色姨妈色正品","¥
320.00",43103人付款,ysl圣罗兰美妆官方旗舰店,江苏 苏州
//g-search2.alicdn.com/img/bao/uploaded/i4/i1/3626596873/O1CN01dz2aDA20dsePi7xgg_!!0-item_pic.jpg,"YSL圣罗兰莹亮纯魅唇膏 圆管斩男色
口红
12蜜桃色46珊瑚橘14 正品","¥
320.00",26004人付款,ysl圣罗兰美妆官方旗舰店,江苏 苏州
//g-search3.alicdn.com/img/bao/uploaded/i4/i4/2923112874/O1CN01MuuAss1X6KmHVqRzw_!!0-item_pic.jpg,"碧奥泉胡萝卜素
口红
持久保湿不脱色学生款变色唇膏唇釉滋润正品女","¥
26.00",78294人付款,碧奥泉旗舰店,广东 广州
//g-search2.alicdn.com/img/bao/uploaded/i4/i2/3949239623/O1CN01LgDVFI2KxNqPRks1d_!!0-item_pic.jpg,"【官方正品】NARS持色哑光唇彩液
口红
红金限量版 Slow Ride Flame","¥
280.00",3081人付款,nars官方旗舰店,上海
//g-search3.alicdn.com/img/bao/uploaded/i4/i4/3626596873/O1CN01FzdCOs20dseQiwVFI_!!0-item_pic.jpg,"YSL圣罗兰莹亮纯魅液体唇膏
口红
唇釉唇彩爱心银管豆沙色 正品","¥
310.00",2384人付款,ysl圣罗兰美妆官方旗舰店,江苏 苏州
//g-search3.alicdn.com/img/bao/uploaded/i4/i3/3170729146/O1CN01iCCkiD2HQuvHIfq8x_!!0-item_pic.jpg,"【预售】MAC/魅可正品棒棒糖唇釉 玻璃唇
口红
唇蜜唇彩染唇","¥
210.00",3918人付款,mac魅可官方旗舰店,浙江 杭州
